;ACADÉMIE;SECTION BI- ET INTERNATIONALE;1ère SESSION A VENIR;Niveau;U.A.I.;ÉTABLISSEMENT;COMMUNE;;
511;VERSAILLES ;AMÉRICAINE;;Collège;0781587B ;Collège de l'Ermitage ;MAISONS-LAFFITTE ;;
512;VERSAILLES ;AMÉRICAINE;;Lycée;0783283V ;Lycée de l'Ermitage ;MAISONS-LAFFITTE ;;
513;VERSAILLES ;AMÉRICAINE;;Ecole;0781119T ;Ecole Schnapper ;SAINT-GERMAIN-EN-LAYE ;;
514;VERSAILLES ;AMÉRICAINE;;Ecole;0781129D ;Ecole du Lycée international ;SAINT-GERMAIN-EN-LAYE ;;0783549J 
515;VERSAILLES ;AMÉRICAINE;;Collège;0781204K ;Collège Marcel Roby ;SAINT-GERMAIN-EN-LAYE ;;
516;VERSAILLES ;AMÉRICAINE;;Collège;0783547G ;Collège international ;SAINT-GERMAIN-EN-LAYE ;;
517;VERSAILLES ;AMÉRICAINE;;Lycée;0783549J ;Lycée international ;SAINT-GERMAIN-EN-LAYE ;;
518;VERSAILLES ;ARABE ;;Collège;0922020W ;Collège Les Renardières ;COURBEVOIE ;;
519;VERSAILLES ;ARABE ;;Lycée;0922615T ;Lycée Lucie Aubrac ;COURBEVOIE ;;
520;VERSAILLES ;BRITANNIQUE;;Ecole;0781966N ;Ecole Félix Eboué-Wilson ;LE PECQ ;;
521;VERSAILLES ;BRITANNIQUE;;Ecole;0782251Y ;Ecole Jehan Alain ;LE PECQ ;;
522;VERSAILLES ;BRITANNIQUE;;Collège;0780263M ;Collège Pierre et Marie Curie ;LE PECQ ;;
523;VERSAILLES ;BRITANNIQUE;;Ecole;0781129D ;Ecole du Lycée international ;SAINT-GERMAIN-EN-LAYE ;;
524;VERSAILLES ;BRITANNIQUE;;Collège;0780714C ;Collège des Hauts Grillets ;SAINT-GERMAIN-EN-LAYE ;;
525;VERSAILLES ;BRITANNIQUE;;Collège;0783547G ;Collège international ;SAINT-GERMAIN-EN-LAYE ;;
526;VERSAILLES ;BRITANNIQUE;;Lycée;0783549J ;Lycée international ;SAINT-GERMAIN-EN-LAYE ;;
527;VERSAILLES ;BRITANNIQUE;;Ecole;0920553B ;Ecole Ferdinand Buisson Point du Jour ;BOULOGNE-BILLANCOURT ;;
528;VERSAILLES ;BRITANNIQUE;;Ecole;0920721J ;Ecole Gambetta A ;SÈVRES ;;
529;VERSAILLES ;BRITANNIQUE;;Collège;0920689Z ;Collège Jean Moulin ;CHAVILLE ;;
530;VERSAILLES ;BRITANNIQUE;;Collège;0921607X ;Collège de Sèvres ;SÈVRES ;;
531;VERSAILLES ;BRITANNIQUE;;Lycée;0920802X ;Lycée Jean-Pierre Vernant ;SÈVRES ;;
532;VERSAILLES ;BRITANNIQUE;;Ecole;0780521T ;Ecole Louis Blériot ;BUC ;;
533;VERSAILLES ;BRITANNIQUE;;Collège;0780715D ;Collège Martin Luther King ;BUC ;;
534;VERSAILLES ;BRITANNIQUE;;Lycée;0783548H ;Lycée franco-allemand ;BUC ;;
535;VERSAILLES ;BRITANNIQUE;;Collège;0783295H ;Collège du Sacré-Cœur ;VERSAILLES ;;
536;VERSAILLES ;BRITANNIQUE;;Lycée;0783351U ;Lycée Notre-Dame du Grandchamp ;VERSAILLES ;;
537;VERSAILLES ;BRITANNIQUE;;Ecole;0780859K ;Ecole Louis Pasteur ;LA-CELLE-SAINT-CLOUD ;;
538;VERSAILLES ;BRITANNIQUE;;Collège;0780179W ;Collège Jean-Baptiste de la Quintinye ;NOISY-LE-ROI ;;
539;VERSAILLES ;BRITANNIQUE;;Collège;0780504Z ;Collège Louis Pasteur ;LA-CELLE-SAINT-CLOUD ;;
540;VERSAILLES ;BRITANNIQUE;;Lycée;0782822U ;Lycée Corneille ;LA-CELLE-SAINT-CLOUD ;;
541;VERSAILLES ;BRITANNIQUE;2018 ;Collège;0950894F ;Collège Jean-Claude Chabanne ;PONTOISE ;;
542;VERSAILLES ;BRITANNIQUE;2017 ;Lycée;0950649P ;Lycée Camille Pissarro ;PONTOISE ;;
543;VERSAILLES ;CHINOISE;;Ecole;0780153T ;Ecole Jean Moulin ;SAINT-GERMAIN-EN-LAYE ;;
544;VERSAILLES ;CHINOISE;;Collège;0780714C ;Collège des Hauts Grillets ;SAINT-GERMAIN-EN-LAYE ;;
545;VERSAILLES ;CHINOISE;2018 ;Lycée;0783549J ;Lycée international ;SAINT-GERMAIN-EN-LAYE ;;
546;VERSAILLES ;DANOISE;;Ecole;0781129D ;Ecole du Lycée international ;SAINT-GERMAIN-EN-LAYE ;;
547;VERSAILLES ;DANOISE;;Collège;0783547G ;Collège international ;SAINT-GERMAIN-EN-LAYE ;;
548;VERSAILLES ;DANOISE;;Lycée;0783549J ;Lycée international ;SAINT-GERMAIN-EN-LAYE ;;
549;VERSAILLES ;ESPAGNOLE;;Ecole;0781129D ;Ecole du Lycée international ;SAINT-GERMAIN-EN-LAYE ;;
550;VERSAILLES ;ESPAGNOLE;;Ecole;0781119T ;Ecole Schnapper ;SAINT-GERMAIN-EN-LAYE ;;
551;VERSAILLES ;ESPAGNOLE;;Collège;0781204K ;Collège Marcel Roby ;SAINT-GERMAIN-EN-LAYE ;;
552;VERSAILLES ;ESPAGNOLE;;Collège;0783547G ;Collège international ;SAINT-GERMAIN-EN-LAYE ;;
553;VERSAILLES ;ESPAGNOLE;;Lycée;0783549J ;Lycée international ;SAINT-GERMAIN-EN-LAYE ;;
554;VERSAILLES ;ITALIENNE;;Ecole;0781129D ;Ecole du Lycée international ;SAINT-GERMAIN-EN-LAYE ;;
555;VERSAILLES ;ITALIENNE;;Collège;0780714C ;Collège des Hauts Grillets ;SAINT-GERMAIN-EN-LAYE ;;
556;VERSAILLES ;ITALIENNE;;Collège;0783547G ;Collège international ;SAINT-GERMAIN-EN-LAYE ;;
557;VERSAILLES ;ITALIENNE;;Lycée;0783549J ;Lycée international ;SAINT-GERMAIN-EN-LAYE ;;
558;VERSAILLES ;JAPONAISE;;Ecole;0781129D ;Ecole du Lycée international ;SAINT-GERMAIN-EN-LAYE ;;
559;VERSAILLES ;JAPONAISE;;Collège;0783547G ;Collège international ;SAINT-GERMAIN-EN-LAYE ;;
560;VERSAILLES ;JAPONAISE;;Lycée;0783549J ;Lycée international ;SAINT-GERMAIN-EN-LAYE ;;
561;VERSAILLES ;NÉERLANDAISE;;Ecole;0781129D ;Ecole du Lycée international ;SAINT-GERMAIN-EN-LAYE ;;
562;VERSAILLES ;NÉERLANDAISE;;Collège;0783547G ;Collège international ;SAINT-GERMAIN-EN-LAYE ;;
563;VERSAILLES ;NÉERLANDAISE;;Lycée;0783549J ;Lycée international ;SAINT-GERMAIN-EN-LAYE ;;
564;VERSAILLES ;NORVÉGIENNE;;Ecole;0781129D ;Ecole du Lycée international ;SAINT-GERMAIN-EN-LAYE ;;
565;VERSAILLES ;NORVÉGIENNE;;Collège;0783547G ;Collège international ;SAINT-GERMAIN-EN-LAYE ;;
566;VERSAILLES ;NORVÉGIENNE;;Lycée;0783549J ;Lycée international ;SAINT-GERMAIN-EN-LAYE ;;
567;VERSAILLES ;POLONAISE;;Ecole;0780947F ;Ecole Marie Curie ;SAINT-GERMAIN-EN-LAYE ;;
568;VERSAILLES ;POLONAISE;;Collège;0780714C ;Collège des Hauts Grillets ;SAINT-GERMAIN-EN-LAYE ;;
569;VERSAILLES ;POLONAISE;;Lycée;0783549J ;Lycée international ;SAINT-GERMAIN-EN-LAYE ;;
570;VERSAILLES ;PORTUGAISE;;Ecole;0780166G ;Ecole Normandie Niemen ;LE PECQ ;;
571;VERSAILLES ;PORTUGAISE;;Collège;0780263M ;Collège Pierre et Marie Curie ;LE PECQ ;;
572;VERSAILLES ;PORTUGAISE;;Ecole;0781129D ;Ecole du Lycée international ;SAINT-GERMAIN-EN-LAYE ;;
573;VERSAILLES ;PORTUGAISE;;Collège;0783547G ;Collège international ;SAINT-GERMAIN-EN-LAYE ;;
574;VERSAILLES ;PORTUGAISE;;Lycée;0783549J ;Lycée international ;SAINT-GERMAIN-EN-LAYE ;;
575;VERSAILLES ;PORTUGAISE;;Ecole;0922086T ;Ecole Paul Bert ;CHAVILLE ;;
576;VERSAILLES ;PORTUGAISE;2018 ;Lycée;0920801W ;Lycée Alexandre Dumas ;SAINT-CLOUD ;;
577;VERSAILLES ;PORTUGAISE;;Collège;0920689Z ;Collège Jean Moulin ;CHAVILLE ;;
578;VERSAILLES ;RUSSE;;Lycée;0783549J ;Lycée international ;SAINT-GERMAIN-EN-LAYE ;;
579;VERSAILLES ;SUÉDOISE;;Ecole;0781129D ;Ecole du Lycée international ;SAINT-GERMAIN-EN-LAYE ;;
580;VERSAILLES ;SUÉDOISE;;Collège;0783547G ;Collège international ;SAINT-GERMAIN-EN-LAYE ;;
581;VERSAILLES ;SUÉDOISE;;Lycée;0783549J ;Lycée international ;SAINT-GERMAIN-EN-LAYE ;;
