;ACADÉMIE;SECTION BI- ET INTERNATIONALE;1ère SESSION A VENIR;Niveau;U.A.I.;ÉTABLISSEMENT;COMMUNE;;
183;Nantes;BACHIBAC (espagnol);2017;Lycée;0442765S;Lycée Nelson Mandela;Nantes;;
184;Nantes;BACHIBAC (espagnol);2017;Lycée;0440154D;Lycée privé Blanche de Castille;Nantes;;
185;Nantes;BACHIBAC (espagnol);2017;Lycée;0720837U;Lycée privé Notre-Dame;Le Mans;;
186;Nice;BACHIBAC (espagnol);;Lycée;0830050D;Lycée Beaussier;La-Seyne-sur Mer;;
187;Orléans-Tours;BACHIBAC (espagnol);;Lycée;0370039S;Lycée Paul-Louis Courier;Tours;;
188;Orléans-Tours;BACHIBAC (espagnol);;Lycée;0360008N;Lycée Jean Giraudoux;Châteauroux;;
189;Orléans-Tours;BACHIBAC (espagnol);2016;Lycée;0410001D;Lycée Augustin Thierry;Blois;;
190;Paris;BACHIBAC (espagnol);;Lycée;0750715V;Lycée Maurice Ravel;Paris;;
191;Paris;BACHIBAC (espagnol);;Lycée;0750703G;Lycée Molière;Paris;;
192;Poitiers;BACHIBAC (espagnol);;Lycée;0170028N;Lycée Jean Dautet;La Rochelle;;
193;Reims;BACHIBAC (espagnol);;Lycée;0510068X;Lycée Stéphane Hessel;Épernay;;
194;Rennes;BACHIBAC (espagnol);;Lycée;0351907H;Lycée René Descartes;Rennes;;
195;Réunion;BACHIBAC (espagnol);;Lycée;9740597F;Lycée Evariste Parny;Saint Paul;;
196;Réunion;BACHIBAC (espagnol);;Lycée;9741324W;Lycée Mahatma Gandhi;Saint-André;;
197;Réunion;BACHIBAC (espagnol);2019;Lycée;9740002J;Lycée Roland Garros;Le Tampon;;
198;Rouen;BACHIBAC (espagnol);;Lycée;0761742F;Lycée Val de Seine;Grand Quevilly;;
199;Toulouse;BACHIBAC (espagnol);;Lycée;0312093G;Lycée Victor Hugo;Colomiers;;
200;Toulouse;BACHIBAC (espagnol);;Lycée;0311334G;Lycée Edmond Rostand;Bagnères-de-Luchon;;
201;Toulouse;BACHIBAC (espagnol);;Lycée;0320015T;Lycée Maréchal Lannes;Lectoure;;
202;Toulouse;BACHIBAC (espagnol);;Lycée;0090015T;Lycée du Castella;Pamiers;;
203;Toulouse;BACHIBAC (espagnol);;Lycée;0650001Y;Lycée René Billières;Argelès-Gazost;;
204;Toulouse;BACHIBAC (espagnol);2017;Lycée;0810006S;Lycée Lapérouse;Albi;;
205;Toulouse;BACHIBAC (espagnol);2017;Lycée;0820020B;Lycée Michelet;Montauban;;
206;Toulouse;BACHIBAC (espagnol);2018;Lycée;0460007H;Lycée Clément Marot;Cahors;;
207;Toulouse;BACHIBAC (espagnol);2018;Lycée;0120025M;Lycée Jean Jaurès;Saint-Affrique;;
208;Versailles;BACHIBAC (espagnol);;Lycée;0781819D;Lycée Émilie de Breteuil;Montigny-le-Bretonneux;;
209;Versailles;BACHIBAC (espagnol);;Lycée;0910621F;Lycée Francisque Sarcey;Dourdan;;
210;Versailles;BACHIBAC (espagnol);;Lycée;0920132U;Lycée Albert Camus;Bois Colombes;;
211;Versailles;BACHIBAC (espagnol);;Lycée;0950645K;Lycée Van Gogh;Ermont;;
212;Versailles;BACHIBAC (espagnol);;Lycée;0920146J;Lycée Marie Curie;Sceaux;;
213;AIX-MARSEILLE ;ARABE ;;Collège;0131923V ;Collège Marseilleveyre ;MARSEILLE ;;
214;AIX-MARSEILLE ;ARABE ;2018 ;Lycée;0130038w ;Lycée Marseilleveyre ;MARSEILLE ;;
215;AIX-MARSEILLE ;BRITANNIQUE;;Collège;0132565T ;Collège Jacques Monod ;LES PENNES-MIRABEAU ;;
216;AIX-MARSEILLE ;BRITANNIQUE;;Lycée;0133525L ;Lycée Georges Duby ;LUYNES ;;
217;AIX-MARSEILLE ;BRITANNIQUE;;Collège;0132568W ;Collège Auguste Mignet ;AIX-EN-PROVENCE ;;
218;AIX-MARSEILLE ;BRITANNIQUE;2016 ;Lycée;0130039X ;Lycée Saint-Charles ;MARSEILLE ;;
219;AIX-MARSEILLE ;CHINOISE;;Ecole;0840370W ;Ecole Jean Henri Fabre A ;AVIGNON ;;
220;AIX-MARSEILLE ;CHINOISE;;Ecole;0840388R ;Ecole élémentaire Frédéric Mistral ;AVIGNON ;;
221;AIX-MARSEILLE ;CHINOISE;;Collège;0840758T ;Collège Frédéric Mistral ;AVIGNON ;;
222;AIX-MARSEILLE ;CHINOISE;;Lycée;0840003X ;Lycée Frédéric Mistral ;AVIGNON ;;
223;AIX-MARSEILLE ;ESPAGNOLE;;Ecole;0131535Y ;Ecole Azoulay ;MARSEILLE ;;
224;AIX-MARSEILLE ;ESPAGNOLE;;Ecole;0133246H ;Ecole Prado Plage ;MARSEILLE ;;
225;AIX-MARSEILLE ;ESPAGNOLE;;Collège;0131923V ;Collège Marseilleveyre ;MARSEILLE ;;
226;AIX-MARSEILLE ;ESPAGNOLE;;Lycée;0130038W ;Lycée Marseilleveyre ;MARSEILLE ;;
227;AIX-MARSEILLE ;ITALIENNE;;Collège;0131923V ;Collège Marseilleveyre ;MARSEILLE ;;
228;AIX-MARSEILLE ;ITALIENNE;;Lycée;0130038W ;Lycée Marseilleveyre ;MARSEILLE ;;
229;AMIENS ;AMÉRICAINE;;Lycée;0801841S ;Lycée Robert de Luzarches ;AMIENS ;;
230;AMIENS ;BRITANNIQUE;;Lycée;0600009J ;Lycée Jean Rostand ;CHANTILLY ;;
231;BESANÇON ;AMÉRICAINE;;Ecole;0900369M ;Ecole Victor Hugo ;BELFORT ;;
232;BESANÇON ;AMÉRICAINE;2019 ;Collège;0900295G ;Collège Vauban ;BELFORT ;;
233;BORDEAUX ;AMÉRICAINE;;Collège;0331662C ;Collège Alain Fournier ;BORDEAUX ;;
234;BORDEAUX ;AMÉRICAINE;;Lycée;0330026Z ;Lycée François Magendie ;BORDEAUX ;;
235;BORDEAUX ;BRITANNIQUE;;Collège;0331492T ;Collège Sainte-Clotilde ;BORDEAUX ;;
236;BORDEAUX ;ESPAGNOLE;;Lycée;0640065Y ;Lycée Maurice Ravel ;SAINT-JEAN-DE-LUZ ;;
237;BORDEAUX ;ESPAGNOLE;;Ecole;0330255Y ;Ecole Paul Bert ;BORDEAUX ;;
238;BORDEAUX ;ESPAGNOLE;;Collège;0331663D ;Collège Cheverus ;BORDEAUX ;;
239;BORDEAUX ;ESPAGNOLE;;Lycée;0330026Z ;Lycée François Magendie ;BORDEAUX ;;
240;BORDEAUX ;ESPAGNOLE;;Ecole;0641381D ;Ecole de La Plage ;HENDAYE ;;
241;BORDEAUX ;ESPAGNOLE;;Collège;0640228A ;Collège Irandatz ;HENDAYE ;;
242;BORDEAUX ;RUSSE;;Lycée;0330023W ;Lycée Camille Jullian ;BORDEAUX ;;
243;CAEN ;BRITANNIQUE;;Ecole;0141376V ;Ecole Henri Brunet ;CAEN ;;
244;CAEN ;BRITANNIQUE;;Collège;0141313B ;Collège Henri Brunet ;CAEN ;;
245;CAEN ;BRITANNIQUE;;Lycée;0141796B ;Lycée Salvador Allende ;HÉROUVILLE-SAINT-CLAIR ;;
246;CLERMONT-FERRAND ;AMÉRICAINE;;Ecole;0631073Z ;Ecole Massillon ;CLERMONT-FERRAND ;;
247;CLERMONT-FERRAND ;AMÉRICAINE;;Collège;0631073Z ;Collège Massillon ;CLERMONT-FERRAND ;;
248;CLERMONT-FERRAND ;AMÉRICAINE;;Lycée;0631847R ;Lycée Massillon ;CLERMONT-FERRAND ;;
249;CLERMONT-FERRAND ;BRITANNIQUE;;Ecole;0630268Z ;Ecole Nestor Perret ;CLERMONT-FERRAND ;;
250;CLERMONT-FERRAND ;BRITANNIQUE;;Collège;0631410R ;Collège Jeanne d'Arc ;CLERMONT-FERRAND ;;
251;CLERMONT-FERRAND ;BRITANNIQUE;;Lycée;0630019D ;Lycée Jeanne d'Arc ;CLERMONT-FERRAND ;;
252;CRÉTEIL ;ALLEMANDE;;Ecole;0770381W ;Ecole Léonard de Vinci ;FONTAINEBLEAU ;;
253;CRÉTEIL ;ALLEMANDE;;Collège;0770928R ;Collège international ;FONTAINEBLEAU ;;
254;CRÉTEIL ;ALLEMANDE;;Lycée;0770927P ;Lycée François 1er ;FONTAINEBLEAU ;;
255;CRÉTEIL ;AMÉRICAINE;2016 ;Collège;0932581A ;Collège de Noisy-le-Grand ;NOISY-LE-GRAND ;;
256;CRÉTEIL ;AMÉRICAINE;2019 ;Lycée;0932638m ;Lycée international de l'Est parisien ;NOISY-LE-GRAND ;;
257;CRÉTEIL ;ARABE ;2016 ;Collège;0932581A ;Collège de Noisy-le-Grand ;NOISY-LE-GRAND ;;
